tablespace_name,autoextensible,files_in_tablespace,total_tablespace_space,total_used_space,total_tablespace_free_space,total_used_pct,total_free_pct,max_size_of_tablespace,max_free_size,total_auto_used_pct,total_auto_free_pct,date_time,sid,hostname
SYSTEM          , YES    ,                   1 ,                    .31 ,              .31 ,                         .00 ,          99.88 ,            .12 ,                  32.00 ,         31.69 ,                 .98 ,               99.02 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
SYSAUX          , YES    ,                   1 ,                   4.39 ,             1.91 ,                        2.48 ,          43.50 ,          56.50 ,                  32.00 ,         30.09 ,                5.97 ,               94.03 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
UNDOTBS1        , YES    ,                   1 ,                   6.10 ,              .59 ,                        5.52 ,           9.61 ,          90.39 ,                  32.00 ,         31.41 ,                1.83 ,               98.17 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
USERS           , YES    ,                   1 ,                    .00 ,              .00 ,                         .00 ,          20.00 ,          80.00 ,                  32.00 ,         32.00 ,                 .00 ,              100.00 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
SOE             , YES    ,                   1 ,                  14.37 ,            13.68 ,                         .68 ,          95.24 ,           4.76 ,               ######## ,      ######## ,                 .04 ,               99.96 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
SH              , YES    ,                   1 ,                   1.83 ,             1.72 ,                         .11 ,          94.11 ,           5.89 ,                  32.00 ,         30.28 ,                5.37 ,               94.63 , 202310050000 , PDB1                                                                                                                                                                                                                                                             , bimaplnx06
SYSTEM          , YES    ,                   1 ,                    .27 ,              .27 ,                         .00 ,          98.79 ,           1.21 ,                  32.00 ,         31.73 ,                 .84 ,               99.16 , 202310050000 , PDB2                                                                                                                                                                                                                                                             , bimaplnx06
SYSAUX          , YES    ,                   1 ,                    .38 ,              .36 ,                         .02 ,          94.49 ,           5.51 ,                  32.00 ,         31.64 ,                1.12 ,               98.88 , 202310050000 , PDB2                                                                                                                                                                                                                                                             , bimaplnx06
UNDOTBS1        , YES    ,                   1 ,                    .19 ,              .02 ,                         .17 ,          11.86 ,          88.14 ,                  32.00 ,         31.98 ,                 .07 ,               99.93 , 202310050000 , PDB2                                                                                                                                                                                                                                                             , bimaplnx06
USERS           , YES    ,                   1 ,                    .00 ,              .00 ,                         .00 ,          20.00 ,          80.00 ,                  32.00 ,         32.00 ,                 .00 ,              100.00 , 202310050000 , PDB2                                                                                                                                                                                                                                                             , bimaplnx06
